Feature,Importance
f169,12562.0
f227,9560.0
f285,9262.0
f575,8465.0
f459,8451.0
f177,7874.0
f517,7638.0
f401,7558.0
f178,7512.0
f343,6828.0
f293,6644.0
f691,6557.0
f294,6540.0
f633,6499.0
f468,6239.0
f583,6107.0
f467,5978.0
f235,5895.0
f699,5887.0
f584,5675.0
f410,5660.0
f409,5644.0
f351,5462.0
f236,5303.0
f143,5256.0
f173,4977.0
f700,4892.0
f525,4818.0
f641,4746.0
f352,4737.0
f176,4688.0
f642,4648.0
f526,4498.0
f289,4453.0
f231,4277.0
f201,4184.0
f175,4161.0
f174,4106.0
f290,4069.0
f142,4049.0
f259,3989.0
f579,3916.0
f491,3876.0
f291,3860.0
f580,3838.0
f292,3830.0
f433,3753.0
f200,3694.0
f521,3661.0
f582,3657.0
f549,3644.0
f234,3642.0
f490,3554.0
f581,3340.0
f463,3328.0
f466,3264.0
f465,3238.0
f205,3214.0
f464,3179.0
f432,3171.0
f347,3130.0
f134,3091.0
f258,3082.0
f524,3066.0
f144,2962.0
f348,2957.0
f350,2948.0
f126,2925.0
f407,2887.0
f170,2859.0
f666,2854.0
f492,2850.0
f495,2824.0
f475,2822.0
f424,2821.0
f272,2817.0
f548,2811.0
f637,2794.0
f406,2789.0
f202,2784.0
f127,2782.0
f185,2778.0
f376,2759.0
f156,2753.0
f562,2751.0
f354,2737.0
f242,2731.0
f147,2722.0
f281,2702.0
f638,2678.0
f697,2656.0
f640,2648.0
f267,2632.0
f405,2628.0
f130,2608.0
f282,2607.0
f696,2598.0
f366,2586.0
f571,2580.0
f416,2569.0
f383,2562.0
f397,2560.0
f408,2560.0
f455,2552.0
f232,2549.0
f280,2544.0
f165,2537.0
f166,2532.0
f532,2529.0
f164,2522.0
f184,2521.0
f250,2504.0
f686,2493.0
f656,2485.0
f570,2481.0
f644,2477.0
f243,2461.0
f698,2452.0
f630,2447.0
f223,2438.0
f434,2418.0
f224,2417.0
f557,2415.0
f339,2401.0
f456,2380.0
f340,2379.0
f417,2364.0
f628,2347.0
f513,2345.0
f454,2341.0
f446,2337.0
f572,2336.0
f512,2329.0
f540,2315.0
f695,2313.0
f222,2280.0
f673,2271.0
f358,2269.0
f260,2266.0
f437,2233.0
f494,2209.0
f122,2208.0
f648,2200.0
f321,2198.0
f233,2193.0
f687,2185.0
f330,2178.0
f664,2175.0
f533,2174.0
f474,2164.0
f620,2161.0
f606,2157.0
f629,2148.0
f338,2143.0
f172,2142.0
f550,2128.0
f204,2124.0
f396,2106.0
f254,2103.0
f316,2097.0
f678,2091.0
f375,2083.0
f374,2066.0
f514,2056.0
f138,2048.0
f317,2019.0
f591,2016.0
f262,2009.0
