Feature,Importance,FeatureName
f169,12562.0,1_championId
f227,9560.0,2_championId
f285,9262.0,3_championId
f575,8465.0,8_championId
f459,8451.0,6_championId
f177,7874.0,1_perk5
f517,7638.0,7_championId
f401,7558.0,5_championId
f178,7512.0,1_perk6
f343,6828.0,4_championId
f293,6644.0,3_perk5
f691,6557.0,10_championId
f294,6540.0,3_perk6
f633,6499.0,9_championId
f468,6239.0,6_perk6
f583,6107.0,8_perk5
f467,5978.0,6_perk5
f235,5895.0,2_perk5
f699,5887.0,10_perk5
f584,5675.0,8_perk6
f410,5660.0,5_perk6
f409,5644.0,5_perk5
f351,5462.0,4_perk5
f236,5303.0,2_perk6
f143,5256.0,1_championStats_powerMax
f173,4977.0,1_perk1
f700,4892.0,10_perk6
f525,4818.0,7_perk5
f641,4746.0,9_perk5
f352,4737.0,4_perk6
f176,4688.0,1_perk4
f642,4648.0,9_perk6
f526,4498.0,7_perk6
f289,4453.0,3_perk1
f231,4277.0,2_perk1
f201,4184.0,2_championStats_powerMax
f175,4161.0,1_perk3
f174,4106.0,1_perk2
f290,4069.0,3_perk2
f142,4049.0,1_championStats_power
f259,3989.0,3_championStats_powerMax
f579,3916.0,8_perk1
f491,3876.0,7_championStats_powerMax
f291,3860.0,3_perk3
f580,3838.0,8_perk2
f292,3830.0,3_perk4
f433,3753.0,6_championStats_powerMax
f200,3694.0,2_championStats_power
f521,3661.0,7_perk1
f582,3657.0,8_perk4
f549,3644.0,8_championStats_powerMax
f234,3642.0,2_perk4
f490,3554.0,7_championStats_power
f581,3340.0,8_perk3
f463,3328.0,6_perk1
f466,3264.0,6_perk4
f465,3238.0,6_perk3
f205,3214.0,2_damageStats_magicDamageDone
f464,3179.0,6_perk2
f432,3171.0,6_championStats_power
f347,3130.0,4_perk1
f134,3091.0,1_championStats_healthRegen
f258,3082.0,3_championStats_power
f524,3066.0,7_perk4
f144,2962.0,1_championStats_powerRegen
f348,2957.0,4_perk2
f350,2948.0,4_perk4
f126,2925.0,1_championStats_attackDamage
f407,2887.0,5_perk3
f170,2859.0,1_runeDefense
f666,2854.0,10_championStats_powerRegen
f492,2850.0,7_championStats_powerRegen
f495,2824.0,7_damageStats_magicDamageDone
f475,2822.0,7_championStats_attackSpeed
f424,2821.0,6_championStats_healthRegen
f272,2817.0,3_damageStats_trueDamageDone
f548,2811.0,8_championStats_power
f637,2794.0,9_perk1
f406,2789.0,5_perk2
f202,2784.0,2_championStats_powerRegen
f127,2782.0,1_championStats_attackSpeed
f185,2778.0,2_championStats_attackSpeed
f376,2759.0,5_championStats_powerRegen
f156,2753.0,1_damageStats_trueDamageDone
f562,2751.0,8_damageStats_trueDamageDone
f354,2737.0,5_championStats_abilityPower
f242,2731.0,3_championStats_attackDamage
f147,2722.0,1_damageStats_magicDamageDone
f281,2702.0,3_position_y
f638,2678.0,9_perk2
f697,2656.0,10_perk3
f640,2648.0,9_perk4
f267,2632.0,3_damageStats_physicalDamageDoneToChampions
f405,2628.0,5_perk1
f130,2608.0,1_championStats_ccReduction
f282,2607.0,3_timeEnemySpentControlled
f696,2598.0,10_perk2
f366,2586.0,5_championStats_healthRegen
f571,2580.0,8_position_y
f416,2569.0,6_championStats_attackDamage
f383,2562.0,5_damageStats_physicalDamageDoneToChampions
f397,2560.0,5_position_y
f408,2560.0,5_perk4
f455,2552.0,6_position_y
f232,2549.0,2_perk2
f280,2544.0,3_position_x
f165,2537.0,1_position_y
f166,2532.0,1_timeEnemySpentControlled
f532,2529.0,8_championStats_attackDamage
f164,2522.0,1_position_x
f184,2521.0,2_championStats_attackDamage
f250,2504.0,3_championStats_healthRegen
f686,2493.0,10_position_x
f656,2485.0,10_championStats_healthRegen
f570,2481.0,8_position_x
f644,2477.0,10_championStats_abilityPower
f243,2461.0,3_championStats_attackSpeed
f698,2452.0,10_perk4
f630,2447.0,9_timeEnemySpentControlled
f223,2438.0,2_position_y
f434,2418.0,6_championStats_powerRegen
f224,2417.0,2_timeEnemySpentControlled
f557,2415.0,8_damageStats_physicalDamageDoneToChampions
f339,2401.0,4_position_y
f456,2380.0,6_timeEnemySpentControlled
f340,2379.0,4_timeEnemySpentControlled
f417,2364.0,6_championStats_attackSpeed
f628,2347.0,9_position_x
f513,2345.0,7_position_y
f454,2341.0,6_position_x
f446,2337.0,6_damageStats_trueDamageDone
f572,2336.0,8_timeEnemySpentControlled
f512,2329.0,7_position_x
f540,2315.0,8_championStats_healthRegen
f695,2313.0,10_perk1
f222,2280.0,2_position_x
f673,2271.0,10_damageStats_physicalDamageDoneToChampions
f358,2269.0,5_championStats_attackDamage
f260,2266.0,3_championStats_powerRegen
f437,2233.0,6_damageStats_magicDamageDone
f494,2209.0,7_currentGold
f122,2208.0,1_championStats_abilityPower
f648,2200.0,10_championStats_attackDamage
f321,2198.0,4_damageStats_magicDamageDone
f233,2193.0,2_perk3
f687,2185.0,10_position_y
f330,2178.0,4_damageStats_trueDamageDone
f664,2175.0,10_championStats_power
f533,2174.0,8_championStats_attackSpeed
f474,2164.0,7_championStats_attackDamage
f620,2161.0,9_damageStats_trueDamageDone
f606,2157.0,9_championStats_power
f629,2148.0,9_position_y
f338,2143.0,4_position_x
f172,2142.0,1_runeOffense
f550,2128.0,8_championStats_powerRegen
f204,2124.0,2_currentGold
f396,2106.0,5_position_x
f254,2103.0,3_championStats_magicResist
f316,2097.0,4_championStats_power
f678,2091.0,10_damageStats_trueDamageDone
f375,2083.0,5_championStats_powerMax
f374,2066.0,5_championStats_power
f514,2056.0,7_timeEnemySpentControlled
f138,2048.0,1_championStats_magicResist
f317,2019.0,4_championStats_powerMax
f591,2016.0,9_championStats_attackSpeed
f262,2009.0,3_currentGold
f522,1999.0,7_perk2
f544,1988.0,8_championStats_magicResist
f301,1985.0,4_championStats_attackSpeed
f388,1974.0,5_damageStats_trueDamageDone
f228,1973.0,2_runeDefense
f238,1952.0,3_championStats_abilityPower
f665,1920.0,10_championStats_powerMax
f132,1916.0,1_championStats_health
f123,1915.0,1_championStats_armor
f370,1911.0,5_championStats_magicResist
f404,1907.0,5_runeOffense
f611,1894.0,9_damageStats_magicDamageDone
f668,1894.0,10_currentGold
f157,1893.0,1_damageStats_trueDamageDoneToChampions
f146,1890.0,1_currentGold
f649,1889.0,10_championStats_attackSpeed
f355,1884.0,5_championStats_armor
f528,1883.0,8_championStats_abilityPower
f607,1874.0,9_championStats_powerMax
f612,1871.0,9_damageStats_magicDamageDoneToChampions
f552,1863.0,8_currentGold
f148,1862.0,1_damageStats_magicDamageDoneToChampions
f320,1862.0,4_currentGold
f660,1852.0,10_championStats_magicResist
f359,1848.0,5_championStats_attackSpeed
f422,1846.0,6_championStats_health
f482,1841.0,7_championStats_healthRegen
f151,1840.0,1_damageStats_physicalDamageDoneToChampions
f158,1835.0,1_damageStats_trueDamageTaken
f420,1833.0,6_championStats_ccReduction
f266,1830.0,3_damageStats_physicalDamageDone
f688,1829.0,10_timeEnemySpentControlled
f349,1822.0,4_perk3
f436,1820.0,6_currentGold
f523,1803.0,7_perk3
f192,1790.0,2_championStats_healthRegen
f300,1790.0,4_championStats_attackDamage
f398,1790.0,5_timeEnemySpentControlled
f590,1790.0,9_championStats_attackDamage
f694,1778.0,10_runeOffense
